DOM_KEY,#THIRD_URL,#THIRD_DOMAIN,#HOST_URL,#HOST_DOAMIN
<button,257,137,273,141
<form,211,117,214,119
<input,454,253,606,259
card,314,154,508,209
credential,14,10,13,9
passwd,0,0,0,0
password,45,31,53,31
privacy,241,133,267,138
private,24,17,24,16
secret,26,21,24,19
security,75,52,80,50
